	Security	Holder	Weight
1	A UN Equity	Cantillon Capital Management LLC	0.0314
2	A UN Equity	Bluespruce Investments LP	0.0489
3	A UN Equity	Echo Street Capital Management LLC	0.0213
4	A UN Equity	Two Sigma Investments LP	0.0000
5	A UN Equity	DE Shaw & Co LP	0.0000
6	A UN Equity	MARSHALL WACE	0.0000
7	A UN Equity	Squarepoint Ops LLC	0.0045
8	A UN Equity	Citadel Advisors LLC	0.0006
9	A UN Equity	Frontier Capital Management Co LLC	0.0046
10	A UN Equity	Arrowstreet Capital LP	0.0005
11	A UN Equity	Renaissance Technologies LLC	0.0006
12	A UN Equity	TwinBeech Capital LP	0.0078
13	A UN Equity	Select Equity Group LP	0.0014
14	A UN Equity	Millennium Management LLC/NY	0.0004
15	A UN Equity	Balyasny Asset Management LP	0.0008
16	A UN Equity	AQR Capital Management LLC	0.0006
17	A UN Equity	Osterweis Capital Management Inc	0.0137
18	A UN Equity	Adage Capital Management LP	0.0000
19	A UN Equity	Corient Private Wealth LLC	0.0005
20	A UN Equity	Cinctive Capital Management LP	0.0053
21	AAL UW Equity	Two Sigma Investments LP	0.0000
22	AAL UW Equity	Renaissance Technologies LLC	0.0044
23	AAL UW Equity	DE Shaw & Co LP	0.0000
24	AAL UW Equity	Balyasny Asset Management LP	0.0053
25	AAL UW Equity	Millennium Management LLC/NY	0.0006
26	AAL UW Equity	PAR Capital Management Inc	0.0175
27	AAL UW Equity	Point72 Asset Management LP	0.0000
28	AAL UW Equity	Cubist Systematic Strategies LLC	0.0026
29	AAL UW Equity	AQR Capital Management LLC	0.0005
30	AAL UW Equity	Squarepoint Ops LLC	0.0012
31	AAL UW Equity	MARSHALL WACE	0.0000
32	AAL UW Equity	ExodusPoint Capital Management LP	0.0020
33	AAL UW Equity	Citadel Advisors LLC	0.0002
34	AAL UW Equity	Adage Capital Management LP	0.0000
35	AAL UW Equity	Gotham Asset Management LLC	0.0025
36	AAL UW Equity	Holocene Advisors LP	0.0004
37	AAL UW Equity	Portman Square Capital LLP	0.0172
38	AAL UW Equity	Twin Tree Management LP	0.0015
39	AAL UW Equity	J Goldman & Co LP	0.0042
40	AAL UW Equity	Soros Fund Management LLC	0.0016
41	AAPL UW Equity	Arrowstreet Capital LP	0.0515
42	AAPL UW Equity	Adage Capital Management LP	0.0000
43	AAPL UW Equity	Corient Private Wealth LLC	0.0519
44	AAPL UW Equity	Winslow Capital Management LLC	0.0794
45	AAPL UW Equity	AQR Capital Management LLC	0.0366
46	AAPL UW Equity	DE Shaw & Co LP	0.0000
47	AAPL UW Equity	Two Sigma Investments LP	0.0000
48	AAPL UW Equity	MARSHALL WACE	0.0000
49	AAPL UW Equity	Renaissance Technologies LLC	0.0137
50	AAPL UW Equity	Williams Jones Wealth Management L	0.0642
51	AAPL UW Equity	Millennium Management LLC/NY	0.0037
52	AAPL UW Equity	Squarepoint Ops LLC	0.0186
53	AAPL UW Equity	RJA Asset Management LLC	0.8902
54	AAPL UW Equity	Hudson Bay Capital Management LP	0.0336
55	AAPL UW Equity	IEQ Capital LLC	0.0596
56	AAPL UW Equity	Kovitz Investment Group Partners L	0.0317
57	AAPL UW Equity	Stonegate Investment Group LLC	0.0716
58	AAPL UW Equity	Echo Street Capital Management LLC	0.0173
59	AAPL UW Equity	Tocqueville Asset Management LP	0.0349
60	AAPL UW Equity	Citadel Advisors LLC	0.0018
61	ABBV UN Equity	Two Sigma Investments LP	0.0000
62	ABBV UN Equity	Corient Private Wealth LLC	0.0062
63	ABBV UN Equity	Citadel Advisors LLC	0.0029
64	ABBV UN Equity	DE Shaw & Co LP	0.0000
65	ABBV UN Equity	Adage Capital Management LP	0.0000
66	ABBV UN Equity	Renaissance Technologies LLC	0.0025
67	ABBV UN Equity	AQR Capital Management LLC	0.0033
68	ABBV UN Equity	Millennium Management LLC/NY	0.0015
69	ABBV UN Equity	MARSHALL WACE	0.0000
70	ABBV UN Equity	Point72 Asset Management LP	0.0000
71	ABBV UN Equity	Balyasny Asset Management LP	0.0026
72	ABBV UN Equity	Bridgewater Associates LP	0.0052
73	ABBV UN Equity	Avidity Partners Management LP	0.0239
74	ABBV UN Equity	PFM Health Sciences LP	0.0269
75	ABBV UN Equity	Squarepoint Ops LLC	0.0034
76	ABBV UN Equity	Iron Triangle Partners LP	0.0814
77	ABBV UN Equity	Woodline Partners LP	0.0066
78	ABBV UN Equity	Berkshire Asset Management LLC	0.0309
79	ABBV UN Equity	Stonegate Investment Group LLC	0.0183
80	ABBV UN Equity	Capital Fund Management SA	0.0069
81	ABNB UW Equity	Renaissance Technologies LLC	0.0098
82	ABNB UW Equity	Two Sigma Investments LP	0.0000
83	ABNB UW Equity	Silver Lake Group LLC	0.0000
84	ABNB UW Equity	Two Creeks Capital Management LP	0.0551
85	ABNB UW Equity	Balyasny Asset Management LP	0.0021
86	ABNB UW Equity	DE Shaw & Co LP	0.0000
87	ABNB UW Equity	Millennium Management LLC/NY	0.0006
88	ABNB UW Equity	PAR Capital Management Inc	0.0134
89	ABNB UW Equity	Citadel Advisors LLC	0.0004
90	ABNB UW Equity	Bridgewater Associates LP	0.0021
91	ABNB UW Equity	Parallax Volatility Advisers LP	0.0123
92	ABNB UW Equity	Tudor Investment Corp	0.0052
93	ABNB UW Equity	NZS Capital LLC	0.0113
94	ABNB UW Equity	Squarepoint Ops LLC	0.0012
95	ABNB UW Equity	Twin Tree Management LP	0.0033
96	ABNB UW Equity	Mark Asset Management LP	0.0213
97	ABNB UW Equity	AQR Capital Management LLC	0.0002
98	ABNB UW Equity	IEQ Capital LLC	0.0022
99	ABNB UW Equity	Archon Partners LLC	0.0146
100	ABNB UW Equity	Corient Private Wealth LLC	0.0002
101	ABT UN Equity	Arrowstreet Capital LP	0.0046
102	ABT UN Equity	Corient Private Wealth LLC	0.0056
103	ABT UN Equity	Bridgewater Associates LP	0.0122
104	ABT UN Equity	Adage Capital Management LP	0.0000
105	ABT UN Equity	AQR Capital Management LLC	0.0027
106	ABT UN Equity	Magnetar Financial LLC	0.0225
107	ABT UN Equity	Renaissance Technologies LLC	0.0015
108	ABT UN Equity	Millennium Management LLC/NY	0.0008
109	ABT UN Equity	Locust Wood Capital Advisers LLC	0.0366
110	ABT UN Equity	Capital Fund Management SA	0.0086
111	ABT UN Equity	DE Shaw & Co LP	0.0000
112	ABT UN Equity	Tocqueville Asset Management LP	0.0073
113	ABT UN Equity	TwinBeech Capital LP	0.0072
114	ABT UN Equity	Squarepoint Ops LLC	0.0018
115	ABT UN Equity	Berkshire Asset Management LLC	0.0186
116	ABT UN Equity	Williams Jones Wealth Management L	0.0041
117	ABT UN Equity	Rhenman & Partners Asset Managemen	0.0283
118	ABT UN Equity	MARSHALL WACE	0.0000
119	ABT UN Equity	Element Capital Management LLC	0.0174
120	ABT UN Equity	Citadel Advisors LLC	0.0002
121	ACGL UW Equity	FPR Partners LLC	0.1333
122	ACGL UW Equity	Davis Asset Management LP	0.0886
123	ACGL UW Equity	Millennium Management LLC/NY	0.0007
124	ACGL UW Equity	Two Sigma Investments LP	0.0000
125	ACGL UW Equity	AQR Capital Management LLC	0.0007
126	ACGL UW Equity	TwinBeech Capital LP	0.0058
127	ACGL UW Equity	Zweig-Dimenna Associates LLC	0.0366
128	ACGL UW Equity	Adage Capital Management LP	0.0000
129	ACGL UW Equity	DE Shaw & Co LP	0.0000
130	ACGL UW Equity	Robertson Opportunity Capital LLC	0.0955
131	ACGL UW Equity	CTF Capital Management LP	0.0866
132	ACGL UW Equity	Williams Jones Wealth Management L	0.0018
133	ACGL UW Equity	Cubist Systematic Strategies LLC	0.0012
134	ACGL UW Equity	Arrowstreet Capital LP	0.0001
135	ACGL UW Equity	Summit Global Investments LLC	0.0063
136	ACGL UW Equity	ExodusPoint Capital Management LP	0.0009
137	ACGL UW Equity	Alyeska Investment Group LP	0.0006
138	ACGL UW Equity	New Vernon Investment Management L	0.1414
139	ACGL UW Equity	Capital Fund Management SA	0.0010
140	ACGL UW Equity	Steinberg Asset Management LLC	0.0602
141	ACN UN Equity	Corient Private Wealth LLC	0.0072
142	ACN UN Equity	Adage Capital Management LP	0.0000
143	ACN UN Equity	Williams Jones Wealth Management L	0.0285
144	ACN UN Equity	AQR Capital Management LLC	0.0018
145	ACN UN Equity	Millennium Management LLC/NY	0.0005
146	ACN UN Equity	DE Shaw & Co LP	0.0000
147	ACN UN Equity	Soros Fund Management LLC	0.0055
148	ACN UN Equity	Suvretta Capital Management LLC	0.0115
149	ACN UN Equity	Samlyn Capital LLC	0.0035
150	ACN UN Equity	Azimut Holding SpA	0.0000
151	ACN UN Equity	NewEdge Wealth LLC	0.0058
152	ACN UN Equity	Alley Investment Management Co LLC	0.0240
153	ACN UN Equity	Citadel Advisors LLC	0.0002
154	ACN UN Equity	IEQ Capital LLC	0.0026
155	ACN UN Equity	Douglas Lane & Associates LLC	0.0019
156	ACN UN Equity	Grey Street Capital LLC	0.0598
157	ACN UN Equity	Azimuth Capital Investment Managem	0.0047
158	ACN UN Equity	Ergoteles LLC	0.0047
159	ACN UN Equity	Kovitz Investment Group Partners L	0.0014
160	ACN UN Equity	TwinBeech Capital LP	0.0019
161	ADBE UW Equity	Citadel Advisors LLC	0.0074
162	ADBE UW Equity	Bluespruce Investments LP	0.0994
163	ADBE UW Equity	Arrowstreet Capital LP	0.0063
164	ADBE UW Equity	Akre Capital Management LLC	0.0434
165	ADBE UW Equity	Coatue Management LLC	0.0239
166	ADBE UW Equity	Millennium Management LLC/NY	0.0045
167	ADBE UW Equity	Point72 Asset Management LP	0.0000
168	ADBE UW Equity	AQR Capital Management LLC	0.0070
169	ADBE UW Equity	Adage Capital Management LP	0.0000
170	ADBE UW Equity	Contour Asset Management LLC	0.0878
171	ADBE UW Equity	Cantillon Capital Management LLC	0.0134
172	ADBE UW Equity	MARSHALL WACE	0.0000
173	ADBE UW Equity	Holocene Advisors LP	0.0076
174	ADBE UW Equity	Corient Private Wealth LLC	0.0038
175	ADBE UW Equity	Squarepoint Ops LLC	0.0088
176	ADBE UW Equity	Heard Capital LLC	0.1038
177	ADBE UW Equity	Steadfast Capital Management LP	0.0311
178	ADBE UW Equity	DE Shaw & Co LP	0.0000
179	ADBE UW Equity	Two Creeks Capital Management LP	0.0563
180	ADBE UW Equity	Select Equity Group LP	0.0034
181	ADI UW Equity	Cantillon Capital Management LLC	0.0447
182	ADI UW Equity	Alkeon Capital Management LLC	0.0311
183	ADI UW Equity	Farallon Capital Management LLC	0.0282
184	ADI UW Equity	Winslow Capital Management LLC	0.0160
185	ADI UW Equity	Millennium Management LLC/NY	0.0027
186	ADI UW Equity	Egerton Capital UK LLP	0.0242
187	ADI UW Equity	Adage Capital Management LP	0.0000
188	ADI UW Equity	AQR Capital Management LLC	0.0032
189	ADI UW Equity	Kovitz Investment Group Partners L	0.0216
190	ADI UW Equity	Meritage Group LP	0.0345
191	ADI UW Equity	Point72 Asset Management LP	0.0000
192	ADI UW Equity	Lansdowne Partners UK LLP	0.0911
193	ADI UW Equity	Corient Private Wealth LLC	0.0018
194	ADI UW Equity	PineStone Asset Management Inc	0.0056
195	ADI UW Equity	Oribel Capital Management LP	0.0394
196	ADI UW Equity	Osterweis Capital Management Inc	0.0242
197	ADI UW Equity	Harvey Partners LLC	0.0361
198	ADI UW Equity	Alyeska Investment Group LP	0.0019
199	ADI UW Equity	Sirios Capital Management LP	0.0411
200	ADI UW Equity	ExodusPoint Capital Management LP	0.0024
201	ADM UN Equity	AQR Capital Management LLC	0.0035
202	ADM UN Equity	Citadel Advisors LLC	0.0009
203	ADM UN Equity	Balyasny Asset Management LP	0.0018
204	ADM UN Equity	DE Shaw & Co LP	0.0000
205	ADM UN Equity	Adage Capital Management LP	0.0000
206	ADM UN Equity	Williams Jones Wealth Management L	0.0036
207	ADM UN Equity	Two Sigma Investments LP	0.0000
208	ADM UN Equity	Azimut Holding SpA	0.0000
209	ADM UN Equity	Summit Global Investments LLC	0.0111
210	ADM UN Equity	Corient Private Wealth LLC	0.0003
211	ADM UN Equity	Millennium Management LLC/NY	0.0001
212	ADM UN Equity	Gotham Asset Management LLC	0.0020
213	ADM UN Equity	Kovitz Investment Group Partners L	0.0014
214	ADM UN Equity	Bridgewater Associates LP	0.0006
215	ADM UN Equity	Renaissance Technologies LLC	0.0001
216	ADM UN Equity	Element Capital Management LLC	0.0036
217	ADM UN Equity	GlobeFlex Capital LP	0.0057
218	ADM UN Equity	Tudor Investment Corp	0.0008
219	ADM UN Equity	Squarepoint Ops LLC	0.0003
220	ADM UN Equity	Holocene Advisors LP	0.0002
221	ADP UW Equity	Two Sigma Investments LP	0.0000
222	ADP UW Equity	DE Shaw & Co LP	0.0000
223	ADP UW Equity	Arrowstreet Capital LP	0.0051
224	ADP UW Equity	Millennium Management LLC/NY	0.0033
225	ADP UW Equity	Renaissance Technologies LLC	0.0028
226	ADP UW Equity	Holocene Advisors LP	0.0078
227	ADP UW Equity	Citadel Advisors LLC	0.0018
228	ADP UW Equity	Capital Counsel LLC	0.0806
229	ADP UW Equity	Squarepoint Ops LLC	0.0074
230	ADP UW Equity	Williams Jones Wealth Management L	0.0199
231	ADP UW Equity	Corient Private Wealth LLC	0.0027
232	ADP UW Equity	Adage Capital Management LP	0.0000
233	ADP UW Equity	AQR Capital Management LLC	0.0016
234	ADP UW Equity	TwinBeech Capital LP	0.0126
235	ADP UW Equity	Cubist Systematic Strategies LLC	0.0048
236	ADP UW Equity	Woodline Partners LP	0.0039
237	ADP UW Equity	Schonfeld Strategic Advisors LLC	0.0026
238	ADP UW Equity	Tocqueville Asset Management LP	0.0044
239	ADP UW Equity	Northstar Asset Management Inc/MA	0.0389
240	ADP UW Equity	Distillate Capital Partners LLC	0.0000
241	ADSK UW Equity	Cantillon Capital Management LLC	0.0181
242	ADSK UW Equity	Two Sigma Investments LP	0.0000
243	ADSK UW Equity	DE Shaw & Co LP	0.0000
244	ADSK UW Equity	Arrowstreet Capital LP	0.0016
245	ADSK UW Equity	Kovitz Investment Group Partners L	0.0127
246	ADSK UW Equity	Select Equity Group LP	0.0022
247	ADSK UW Equity	AQR Capital Management LLC	0.0010
248	ADSK UW Equity	Squarepoint Ops LLC	0.0021
249	ADSK UW Equity	Adage Capital Management LP	0.0000
250	ADSK UW Equity	TwinBeech Capital LP	0.0057
251	ADSK UW Equity	NZS Capital LLC	0.0128
252	ADSK UW Equity	Matrix Capital Management Co LP	0.0028
253	ADSK UW Equity	Douglas Lane & Associates LLC	0.0041
254	ADSK UW Equity	Aureus Asset Management LLC	0.0164
255	ADSK UW Equity	Oribel Capital Management LP	0.0191
256	ADSK UW Equity	Corient Private Wealth LLC	0.0004
257	ADSK UW Equity	Millennium Management LLC/NY	0.0002
258	ADSK UW Equity	Capital Fund Management SA	0.0022
259	ADSK UW Equity	Tocqueville Asset Management LP	0.0024
